表７－１　職種別、年齢階層別平均支給額
企業規模,計（100人以上）
職種,年齢階層,四分位,2025年４月分平均支給額「きまって支給する給与(A)」,『2025年４月分平均支給額「きまって支給する給与(A)」』の備考,2025年４月分平均支給額「きまって支給する給与のうち時間外手当(B)」,2025年４月分平均支給額「（A－B）」,2025年４月分平均支給額「（A－B）のうち通勤手当」
,,,円,,円,円,円
支店長,20歳未満,,***,,***,***,***
支店長,20歳以上24歳未満,,***,,***,***,***
支店長,24歳以上28歳未満,,***,,***,***,***
支店長,28歳以上32歳未満,,***,,***,***,***
支店長,32歳以上36歳未満,,X,,X,X,X
技術部長,36歳以上40歳未満,,672508,,26633,645875,9627
技術部長,40歳以上44歳未満,,700630,,13957,686673,6706
技術部長,44歳以上48歳未満,,726202,,9405,716797,10806
技術部長,48歳以上52歳未満,△,731506,,7240,724266,9964
技術部長,52歳以上56歳未満,◎,751222,,6270,744952,11652
技術部長,56歳以上,▽,780753,,2856,777897,12864
技術部次長,20歳未満,,***,,***,***,***
技術部次長,20歳以上24歳未満,,***,,***,***,***
技術部次長,24歳以上28歳未満,,***,,***,***,***
技術部次長,28歳以上32歳未満,,***,,***,***,***
技術部次長,32歳以上36歳未満,,515461,*,56893,458568,933
技術部次長,36歳以上40歳未満,,539754,,18150,521604,7368
技術部次長,40歳以上44歳未満,,723357,,12172,711185,16913
技術部次長,44歳以上48歳未満,,698563,,12855,685708,13851
技術部次長,48歳以上52歳未満,△,713891,,12479,701412,13816
技術部次長,52歳以上56歳未満,◎,714026,,6457,707569,16366
技術部次長,56歳以上,▽,714424,,6271,708153,15286
技術課長,20歳未満,,***,,***,***,***
技術課長,20歳以上24歳未満,,***,,***,***,***
技術課長,24歳以上28歳未満,,***,,***,***,***
技術課長,28歳以上32歳未満,,518494,,64199,454295,7531
技術課長,32歳以上36歳未満,,524213,,47516,476697,11220
技術課長,36歳以上40歳未満,,602549,,32831,569718,10892
技術課長,40歳以上44歳未満,,625693,,23099,602594,11544
技術課長,44歳以上48歳未満,△,634685,,18070,616615,11985
技術課長,48歳以上52歳未満,◎,643181,,15589,627592,12581
技術課長,52歳以上56歳未満,▽,652254,,12591,639663,13327
技術課長,56歳以上,,668189,,12894,655295,13304
技術課長代理,20歳未満,,***,,***,***,***
技術課長代理,20歳以上24歳未満,,***,,***,***,***
技術課長代理,24歳以上28歳未満,,350552,*,69890,280662,8519
技術課長代理,28歳以上32歳未満,,453860,,69872,383988,6206
技術課長代理,32歳以上36歳未満,,557715,,52790,504925,7911
技術課長代理,36歳以上40歳未満,,589565,,52036,537529,12252
技術課長代理,40歳以上44歳未満,△,572753,,51798,520955,11284
技術課長代理,44歳以上48歳未満,◎,570982,,49059,521923,11133
技術課長代理,48歳以上52歳未満,,575238,,43771,531467,15535
技術課長代理,52歳以上56歳未満,▽,591655,,37060,554595,14148
技術課長代理,56歳以上,,610097,,30222,579875,11325
技術係長,20歳未満,,***,,***,***,***
技術係長,20歳以上24歳未満,,***,,***,***,***
技術係長,24歳以上28歳未満,,357548,,58901,298647,7867
技術係長,28歳以上32歳未満,,442732,,72022,370710,13452
技術係長,32歳以上36歳未満,,514774,,91076,423698,11755
技術係長,36歳以上40歳未満,△,541830,,91338,450492,12938
技術係長,40歳以上44歳未満,,547612,,85719,461893,12318
技術係長,44歳以上48歳未満,◎,545055,,80434,464621,12426
技術係長,48歳以上52歳未満,,547802,,76572,471230,12291
技術係長,52歳以上56歳未満,▽,557899,,72407,485492,12453
技術係長,56歳以上,,554117,,67474,486643,12378
技術主任,20歳未満,,***,,***,***,***
技術主任,20歳以上24歳未満,,354972,,86233,268739,5369
技術主任,24歳以上28歳未満,,372564,,61514,311050,7047
技術主任,28歳以上32歳未満,,438605,,78445,360160,9247
技術主任,32歳以上36歳未満,△,470927,,80347,390580,10145
技術主任,36歳以上40歳未満,,496390,,84853,411537,9805
技術主任,40歳以上44歳未満,◎,505433,,81474,423959,11284
技術主任,44歳以上48歳未満,,505387,,80862,424525,11453
技術主任,48歳以上52歳未満,▽,514507,,84105,430402,9574
技術主任,52歳以上56歳未満,,525353,,80104,445249,10745
技術主任,56歳以上,,523410,,64093,459317,11712
技術係員,20歳未満,,264187,,36225,227962,7744
技術係員,20歳以上24歳未満,,301579,,44635,256944,9978
技術係員,24歳以上28歳未満,△,345954,,53871,292083,9002
技術係員,28歳以上32歳未満,,384866,,61509,323357,9411
技術係員,32歳以上36歳未満,◎,411015,,62810,348205,9991
技術係員,36歳以上40歳未満,,427170,,62214,364956,10859
技術係員,40歳以上44歳未満,,444005,,61571,382434,11471
技術係員,44歳以上48歳未満,▽,452879,,59344,393535,10769
技術係員,48歳以上52歳未満,,458695,,60111,398584,11108
技術係員,52歳以上56歳未満,,462487,,56635,405852,11278
技術係員,56歳以上,,490532,,53103,437429,12518
電話交換手,20歳未満,,***,,***,***,***
電話交換手,20歳以上24歳未満,,***,,***,***,***
電話交換手,24歳以上28歳未満,,X,,X,X,X
電話交換手,28歳以上32歳未満,,***,,***,***,***
電話交換手,32歳以上36歳未満,,***,,***,***,***
電話交換手,36歳以上40歳未満,,***,,***,***,***
電話交換手,40歳以上44歳未満,,***,,***,***,***
電話交換手,44歳以上48歳未満,※,302500,*,6285,296215,1831
電話交換手,48歳以上52歳未満,▽,377334,*,4903,372431,79911
電話交換手,52歳以上56歳未満,,X,,X,X,X
電話交換手,56歳以上,,X,,X,X,X
自家用乗用自動車運転手,20歳未満,,***,,***,***,***
自家用乗用自動車運転手,20歳以上24歳未満,,***,,***,***,***
自家用乗用自動車運転手,24歳以上28歳未満,,309872,*,71732,238140,7543
自家用乗用自動車運転手,28歳以上32歳未満,△,309140,*,73283,235857,0
自家用乗用自動車運転手,32歳以上36歳未満,,470743,*,138680,332063,2215
自家用乗用自動車運転手,36歳以上40歳未満,,392656,*,116365,276291,6698
自家用乗用自動車運転手,40歳以上44歳未満,,X,,X,X,X
自家用乗用自動車運転手,44歳以上48歳未満,◎,452661,*,76711,375950,32442
自家用乗用自動車運転手,48歳以上52歳未満,,385048,*,69332,315716,9702
自家用乗用自動車運転手,52歳以上56歳未満,,520715,*,121954,398761,6391
自家用乗用自動車運転手,56歳以上,▽,409919,,73692,336227,11159
守衛,20歳未満,,***,,***,***,***
守衛,20歳以上24歳未満,,X,,X,X,X
守衛,24歳以上28歳未満,,301324,*,77836,223488,13356
守衛,28歳以上32歳未満,,355696,*,86785,268911,4462
守衛,32歳以上36歳未満,,328412,*,75448,252964,3238
守衛,36歳以上40歳未満,,391534,*,79238,312296,2855
守衛,40歳以上44歳未満,,388847,*,61723,327124,3149
守衛,44歳以上48歳未満,△,380873,*,82475,298398,3320
守衛,48歳以上52歳未満,,446970,,72431,374539,3850
守衛,52歳以上56歳未満,◎,401028,,59411,341617,9060
守衛,56歳以上,▽,445122,,67908,377214,9387
用務員,20歳未満,,225664,*,29610,196054,8988
用務員,20歳以上24歳未満,,252590,*,63356,189234,5445
用務員,24歳以上28歳未満,,258871,*,38812,220059,8326
用務員,28歳以上32歳未満,,268744,*,60302,208442,10414
用務員,32歳以上36歳未満,△,242882,*,27597,215285,4421
用務員,36歳以上40歳未満,,297919,*,44750,253169,9137
用務員,40歳以上44歳未満,,289238,,58128,231110,9146
用務員,44歳以上48歳未満,◎,325089,,87136,237953,11649
用務員,48歳以上52歳未満,,314182,*,72625,241557,10681
用務員,52歳以上56歳未満,▽,314908,,51998,262910,22145
用務員,56歳以上,,336849,,67195,269654,18381
研究所長,20歳未満,,***,,***,***,***
研究所長,20歳以上24歳未満,,***,,***,***,***
研究所長,24歳以上28歳未満,,***,,***,***,***
研究所長,28歳以上32歳未満,,***,,***,***,***
研究所長,32歳以上36歳未満,,***,,***,***,***
研究所長,36歳以上40歳未満,,***,,***,***,***
研究所長,40歳以上44歳未満,,X,,X,X,X
研究所長,44歳以上48歳未満,,978095,*,249,977846,21677
