表７－１　職種別、年齢階層別平均支給額
企業規模,計（100人以上）
職種,年齢階層,四分位,2025年４月分平均支給額「きまって支給する給与(A)」,『2025年４月分平均支給額「きまって支給する給与(A)」』の備考,2025年４月分平均支給額「きまって支給する給与のうち時間外手当(B)」,2025年４月分平均支給額「（A－B）」,2025年４月分平均支給額「（A－B）のうち通勤手当」
,,,円,,円,円,円
支店長,20歳未満,,***,,***,***,***
支店長,20歳以上24歳未満,,***,,***,***,***
支店長,24歳以上28歳未満,,***,,***,***,***
支店長,28歳以上32歳未満,,***,,***,***,***
支店長,32歳以上36歳未満,,X,,X,X,X
総看護師長,52歳以上56歳未満,◎,553838,,16889,536949,6995
総看護師長,56歳以上,▽,555634,,16928,538706,8057
看護師長,20歳未満,,***,,***,***,***
看護師長,20歳以上24歳未満,,***,,***,***,***
看護師長,24歳以上28歳未満,,403033,*,126299,276734,1768
看護師長,28歳以上32歳未満,,377658,,65627,312031,6631
看護師長,32歳以上36歳未満,,385243,,45502,339741,5726
看護師長,36歳以上40歳未満,,410003,,45956,364047,6675
看護師長,40歳以上44歳未満,,425634,,37270,388364,7425
看護師長,44歳以上48歳未満,△,454564,,40455,414109,11397
看護師長,48歳以上52歳未満,◎,466720,,36973,429747,8942
看護師長,52歳以上56歳未満,▽,483126,,39211,443915,9780
看護師長,56歳以上,,473004,,32280,440724,8671
看護師,20歳未満,,***,,***,***,***
看護師,20歳以上24歳未満,,336499,,38636,297863,15220
看護師,24歳以上28歳未満,△,350714,,38269,312445,14819
看護師,28歳以上32歳未満,,358313,,41735,316578,10733
看護師,32歳以上36歳未満,,358193,,40453,317740,9394
看護師,36歳以上40歳未満,◎,373607,,46255,327352,8103
看護師,40歳以上44歳未満,,395790,,44987,350803,11899
看護師,44歳以上48歳未満,,409031,,43537,365494,14620
看護師,48歳以上52歳未満,▽,410707,,45970,364737,10867
看護師,52歳以上56歳未満,,411849,,39827,372022,10371
看護師,56歳以上,,405346,,41997,363349,9843
准看護師,20歳未満,,***,,***,***,***
准看護師,20歳以上24歳未満,,248181,,33930,214251,5598
准看護師,24歳以上28歳未満,,281084,,22099,258985,6928
准看護師,28歳以上32歳未満,,283052,,45575,237477,5900
准看護師,32歳以上36歳未満,,285578,,26407,259171,9336
准看護師,36歳以上40歳未満,△,289105,,31118,257987,8103
准看護師,40歳以上44歳未満,,305433,,39376,266057,7404
准看護師,44歳以上48歳未満,,314575,,38623,275952,9731
准看護師,48歳以上52歳未満,◎,332642,,37752,294890,8598
准看護師,52歳以上56歳未満,,339757,,40087,299670,8390
准看護師,56歳以上,▽,342816,,35838,306978,7605
大学学長,20歳未満,,***,,***,***,***
大学学長,20歳以上24歳未満,,***,,***,***,***
大学学長,24歳以上28歳未満,,***,,***,***,***
大学学長,28歳以上32歳未満,,***,,***,***,***
大学学長,32歳以上36歳未満,,***,,***,***,***
大学学長,36歳以上40歳未満,,***,,***,***,***
大学学長,40歳以上44歳未満,,***,,***,***,***
大学学長,44歳以上48歳未満,,***,,***,***,***
大学学長,48歳以上52歳未満,,***,,***,***,***
大学学長,52歳以上56歳未満,,X,,X,X,X
大学学長,56歳以上,※,1050946,*,0,1050946,57585
大学副学長,20歳未満,,***,,***,***,***
大学副学長,20歳以上24歳未満,,***,,***,***,***
大学副学長,24歳以上28歳未満,,***,,***,***,***
大学副学長,28歳以上32歳未満,,***,,***,***,***
大学副学長,32歳以上36歳未満,,***,,***,***,***
大学副学長,36歳以上40歳未満,,***,,***,***,***
大学副学長,40歳以上44歳未満,,***,,***,***,***
大学副学長,44歳以上48歳未満,,746422,*,0,746422,67969
大学副学長,48歳以上52歳未満,,762449,*,0,762449,78215
大学副学長,52歳以上56歳未満,△,764902,*,0,764902,56442
大学副学長,56歳以上,※,841188,,599,840589,49829
大学学部長,20歳未満,,***,,***,***,***
大学学部長,20歳以上24歳未満,,***,,***,***,***
大学学部長,24歳以上28歳未満,,***,,***,***,***
大学学部長,28歳以上32歳未満,,***,,***,***,***
大学学部長,32歳以上36歳未満,,***,,***,***,***
大学学部長,36歳以上40歳未満,,***,,***,***,***
大学学部長,40歳以上44歳未満,,585070,*,0,585070,813
大学学部長,44歳以上48歳未満,,681359,*,0,681359,14174
大学学部長,48歳以上52歳未満,,831062,,78876,752186,36810
大学学部長,52歳以上56歳未満,,861205,,3091,858114,32666
大学学部長,56歳以上,※,786786,,4743,782043,32548
大学教授,20歳未満,,***,,***,***,***
大学教授,20歳以上24歳未満,,***,,***,***,***
大学教授,24歳以上28歳未満,,***,,***,***,***
大学教授,28歳以上32歳未満,,***,,***,***,***
大学教授,32歳以上36歳未満,,***,,***,***,***
大学教授,36歳以上40歳未満,,579932,*,0,579932,8079
大学教授,40歳以上44歳未満,,638942,,3082,635860,30031
大学教授,44歳以上48歳未満,,694430,,4535,689895,51143
大学教授,48歳以上52歳未満,,730736,,10381,720355,50755
大学教授,52歳以上56歳未満,△,736020,,4850,731170,52084
大学教授,56歳以上,※,740098,,4174,735924,52097
大学准教授,20歳未満,,***,,***,***,***
大学准教授,20歳以上24歳未満,,***,,***,***,***
大学准教授,24歳以上28歳未満,,***,,***,***,***
大学准教授,28歳以上32歳未満,,474590,*,0,474590,21657
大学准教授,32歳以上36歳未満,,504508,,1495,503013,29271
大学准教授,36歳以上40歳未満,,555162,,12242,542920,53843
大学准教授,40歳以上44歳未満,,577852,,10440,567412,40419
大学准教授,44歳以上48歳未満,△,578262,,6171,572091,38992
大学准教授,48歳以上52歳未満,◎,605592,,6171,599421,48510
大学准教授,52歳以上56歳未満,▽,640808,,8236,632572,51258
大学准教授,56歳以上,,618179,,7840,610339,36235
大学講師,20歳未満,,***,,***,***,***
大学講師,20歳以上24歳未満,,***,,***,***,***
大学講師,24歳以上28歳未満,,329415,*,0,329415,7170
大学講師,28歳以上32歳未満,,356270,,1589,354681,7982
大学講師,32歳以上36歳未満,,450949,,24986,425963,25294
大学講師,36歳以上40歳未満,△,523484,,37399,486085,47076
大学講師,40歳以上44歳未満,◎,543170,,33762,509408,49051
大学講師,44歳以上48歳未満,,561913,,9020,552893,59218
大学講師,48歳以上52歳未満,▽,602461,,22208,580253,38494
大学講師,52歳以上56歳未満,,585426,,12205,573221,47881
大学講師,56歳以上,,572728,,7188,565540,43126
大学助教,20歳未満,,***,,***,***,***
大学助教,20歳以上24歳未満,,***,,***,***,***
大学助教,24歳以上28歳未満,,312315,*,13483,298832,26298
大学助教,28歳以上32歳未満,△,360123,,24017,336106,28083
大学助教,32歳以上36歳未満,◎,469362,,66845,402517,28704
大学助教,36歳以上40歳未満,▽,531692,,48701,482991,35476
大学助教,40歳以上44歳未満,,583159,,58336,524823,53489
大学助教,44歳以上48歳未満,,522837,,37131,485706,42418
大学助教,48歳以上52歳未満,,509542,,1185,508357,66628
大学助教,52歳以上56歳未満,,499998,,1480,498518,51664
大学助教,56歳以上,,502847,,244,502603,55314
高等学校校長,20歳未満,,***,,***,***,***
高等学校校長,20歳以上24歳未満,,***,,***,***,***
高等学校校長,24歳以上28歳未満,,***,,***,***,***
高等学校校長,28歳以上32歳未満,,***,,***,***,***
高等学校校長,32歳以上36歳未満,,***,,***,***,***
高等学校校長,36歳以上40歳未満,,***,,***,***,***
高等学校校長,40歳以上44歳未満,,X,,X,X,X
高等学校校長,44歳以上48歳未満,,***,,***,***,***
高等学校校長,48歳以上52歳未満,,731901,*,15056,716845,656
高等学校校長,52歳以上56歳未満,,X,,X,X,X
高等学校校長,56歳以上,※,809288,,10167,799121,53020
高等学校教頭,20歳未満,,***,,***,***,***
高等学校教頭,20歳以上24歳未満,,***,,***,***,***
高等学校教頭,24歳以上28歳未満,,***,,***,***,***
高等学校教頭,28歳以上32歳未満,,***,,***,***,***
高等学校教頭,32歳以上36歳未満,,***,,***,***,***
高等学校教頭,36歳以上40歳未満,,***,,***,***,***
高等学校教頭,40歳以上44歳未満,,541284,*,1167,540117,6491
高等学校教頭,44歳以上48歳未満,,613333,*,15496,597837,25304
高等学校教頭,48歳以上52歳未満,△,686593,,2504,684089,39115
高等学校教頭,52歳以上56歳未満,,688586,,13660,674926,33057
高等学校教頭,56歳以上,※,681532,,17990,663542,18600
高等学校主幹教諭,20歳未満,,***,,***,***,***
高等学校主幹教諭,20歳以上24歳未満,,***,,***,***,***
高等学校主幹教諭,24歳以上28歳未満,,***,,***,***,***
高等学校主幹教諭,28歳以上32歳未満,,***,,***,***,***
高等学校主幹教諭,32歳以上36歳未満,,***,,***,***,***
高等学校主幹教諭,36歳以上40歳未満,,X,,X,X,X
高等学校主幹教諭,40歳以上44歳未満,△,623204,*,0,623204,30964
高等学校主幹教諭,44歳以上48歳未満,◎,661924,*,30498,631426,45041
高等学校主幹教諭,48歳以上52歳未満,▽,683613,*,0,683613,47427
高等学校主幹教諭,52歳以上56歳未満,,677944,*,134897,543047,8296
高等学校主幹教諭,56歳以上,,695280,*,0,695280,20517
高等学校指導教諭,20歳未満,,***,,***,***,***
高等学校指導教諭,20歳以上24歳未満,,***,,***,***,***
高等学校指導教諭,24歳以上28歳未満,,***,,***,***,***
高等学校指導教諭,28歳以上32歳未満,,***,,***,***,***
高等学校指導教諭,32歳以上36歳未満,,***,,***,***,***
高等学校指導教諭,36歳以上40歳未満,,***,,***,***,***
高等学校指導教諭,40歳以上44歳未満,,***,,***,***,***
高等学校指導教諭,44歳以上48歳未満,,***,,***,***,***
高等学校指導教諭,48歳以上52歳未満,,***,,***,***,***
高等学校指導教諭,52歳以上56歳未満,,***,,***,***,***
高等学校指導教諭,56歳以上,,***,,***,***,***
高等学校教諭,20歳未満,,***,,***,***,***
高等学校教諭,20歳以上24歳未満,,250501,*,5997,244504,6374
高等学校教諭,24歳以上28歳未満,,318193,,12165,306028,20977
高等学校教諭,28歳以上32歳未満,,378513,,21843,356670,24543
高等学校教諭,32歳以上36歳未満,,431563,,27985,403578,26515
高等学校教諭,36歳以上40歳未満,△,466420,,24293,442127,27823
高等学校教諭,40歳以上44歳未満,,526018,,26829,499189,29116
高等学校教諭,44歳以上48歳未満,◎,567360,,30900,536460,23192
高等学校教諭,48歳以上52歳未満,,593424,,27896,565528,27532
高等学校教諭,52歳以上56歳未満,▽,618077,,28395,589682,25711
高等学校教諭,56歳以上,,644837,,27515,617322,34479
遠洋　船長・機関長,20歳未満,,***,,***,***,***
遠洋　船長・機関長,20歳以上24歳未満,,***,,***,***,***
遠洋　船長・機関長,24歳以上28歳未満,,***,,***,***,***
遠洋　船長・機関長,28歳以上32歳未満,,***,,***,***,***
遠洋　船長・機関長,32歳以上36歳未満,,***,,***,***,***
遠洋　船長・機関長,36歳以上40歳未満,,***,,***,***,***
遠洋　船長・機関長,40歳以上44歳未満,,***,,***,***,***
遠洋　船長・機関長,44歳以上48歳未満,,X,,X,X,X
遠洋　船長・機関長,48歳以上52歳未満,,***,,***,***,***
遠洋　船長・機関長,52歳以上56歳未満,※,1297141,*,0,1297141,0
遠洋　船長・機関長,56歳以上,▽,1127379,*,0,1127379,0
遠洋　一等航海士・機関士,20歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,24歳以上28歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,28歳以上32歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,32歳以上36歳未満,※,912643,*,267475,645168,0
遠洋　一等航海士・機関士,36歳以上40歳未満,▽,X,,X,X,X
遠洋　一等航海士・機関士,40歳以上44歳未満,,X,,X,X,X
遠洋　一等航海士・機関士,44歳以上48歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,48歳以上52歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
遠洋　一等航海士・機関士,56歳以上,,***,,***,***,***
遠洋　二等航海士・機関士,20歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,24歳以上28歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,28歳以上32歳未満,※,754740,*,222047,532693,0
遠洋　二等航海士・機関士,32歳以上36歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,36歳以上40歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,40歳以上44歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,44歳以上48歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,48歳以上52歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
遠洋　二等航海士・機関士,56歳以上,,***,,***,***,***
遠洋　三等航海士・機関士,20歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,20歳以上24歳未満,,X,,X,X,X
遠洋　三等航海士・機関士,24歳以上28歳未満,※,665896,*,194669,471227,0
遠洋　三等航海士・機関士,28歳以上32歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,32歳以上36歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,36歳以上40歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,40歳以上44歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,44歳以上48歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,48歳以上52歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
遠洋　三等航海士・機関士,56歳以上,,***,,***,***,***
遠洋　運航士,20歳未満,,***,,***,***,***
遠洋　運航士,20歳以上24歳未満,,***,,***,***,***
遠洋　運航士,24歳以上28歳未満,,***,,***,***,***
遠洋　運航士,28歳以上32歳未満,,***,,***,***,***
遠洋　運航士,32歳以上36歳未満,,***,,***,***,***
遠洋　運航士,36歳以上40歳未満,,***,,***,***,***
遠洋　運航士,40歳以上44歳未満,,***,,***,***,***
遠洋　運航士,44歳以上48歳未満,,***,,***,***,***
遠洋　運航士,48歳以上52歳未満,,***,,***,***,***
遠洋　運航士,52歳以上56歳未満,,***,,***,***,***
遠洋　運航士,56歳以上,,***,,***,***,***
遠洋　甲板長・操機長,20歳未満,,***,,***,***,***
遠洋　甲板長・操機長,20歳以上24歳未満,,***,,***,***,***
遠洋　甲板長・操機長,24歳以上28歳未満,,***,,***,***,***
遠洋　甲板長・操機長,28歳以上32歳未満,,***,,***,***,***
遠洋　甲板長・操機長,32歳以上36歳未満,,***,,***,***,***
遠洋　甲板長・操機長,36歳以上40歳未満,,***,,***,***,***
遠洋　甲板長・操機長,40歳以上44歳未満,,***,,***,***,***
遠洋　甲板長・操機長,44歳以上48歳未満,,***,,***,***,***
遠洋　甲板長・操機長,48歳以上52歳未満,,***,,***,***,***
遠洋　甲板長・操機長,52歳以上56歳未満,,***,,***,***,***
遠洋　甲板長・操機長,56歳以上,,***,,***,***,***
遠洋　甲板手・操機手,20歳未満,,***,,***,***,***
遠洋　甲板手・操機手,20歳以上24歳未満,,***,,***,***,***
遠洋　甲板手・操機手,24歳以上28歳未満,,***,,***,***,***
遠洋　甲板手・操機手,28歳以上32歳未満,,***,,***,***,***
遠洋　甲板手・操機手,32歳以上36歳未満,,***,,***,***,***
遠洋　甲板手・操機手,36歳以上40歳未満,,***,,***,***,***
遠洋　甲板手・操機手,40歳以上44歳未満,,***,,***,***,***
遠洋　甲板手・操機手,44歳以上48歳未満,,***,,***,***,***
遠洋　甲板手・操機手,48歳以上52歳未満,,***,,***,***,***
遠洋　甲板手・操機手,52歳以上56歳未満,,***,,***,***,***
遠洋　甲板手・操機手,56歳以上,,***,,***,***,***
遠洋　甲板員・機関員,20歳未満,,***,,***,***,***
遠洋　甲板員・機関員,20歳以上24歳未満,,***,,***,***,***
遠洋　甲板員・機関員,24歳以上28歳未満,,***,,***,***,***
遠洋　甲板員・機関員,28歳以上32歳未満,,***,,***,***,***
遠洋　甲板員・機関員,32歳以上36歳未満,,***,,***,***,***
遠洋　甲板員・機関員,36歳以上40歳未満,,***,,***,***,***
遠洋　甲板員・機関員,40歳以上44歳未満,,***,,***,***,***
遠洋　甲板員・機関員,44歳以上48歳未満,,***,,***,***,***
遠洋　甲板員・機関員,48歳以上52歳未満,,***,,***,***,***
遠洋　甲板員・機関員,52歳以上56歳未満,,***,,***,***,***
遠洋　甲板員・機関員,56歳以上,,***,,***,***,***
近海　船長・機関長,20歳未満,,***,,***,***,***
近海　船長・機関長,20歳以上24歳未満,,***,,***,***,***
近海　船長・機関長,24歳以上28歳未満,,***,,***,***,***
近海　船長・機関長,28歳以上32歳未満,,***,,***,***,***
近海　船長・機関長,32歳以上36歳未満,,***,,***,***,***
近海　船長・機関長,36歳以上40歳未満,,***,,***,***,***
近海　船長・機関長,40歳以上44歳未満,,773146,*,41570,731576,5000
近海　船長・機関長,44歳以上48歳未満,※,738910,*,41100,697810,3000
近海　船長・機関長,48歳以上52歳未満,,X,,X,X,X
近海　船長・機関長,52歳以上56歳未満,,X,,X,X,X
近海　船長・機関長,56歳以上,▽,781528,*,44628,736900,2500
近海　一等航海士・機関士,20歳未満,,***,,***,***,***
近海　一等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
近海　一等航海士・機関士,24歳以上28歳未満,,***,,***,***,***
近海　一等航海士・機関士,28歳以上32歳未満,,***,,***,***,***
近海　一等航海士・機関士,32歳以上36歳未満,,X,,X,X,X
近海　一等航海士・機関士,36歳以上40歳未満,△,585189,*,176053,409136,4310
近海　一等航海士・機関士,40歳以上44歳未満,,X,,X,X,X
近海　一等航海士・機関士,44歳以上48歳未満,,X,,X,X,X
近海　一等航海士・機関士,48歳以上52歳未満,◎,X,,X,X,X
近海　一等航海士・機関士,52歳以上56歳未満,,757878,*,203976,553902,5000
近海　一等航海士・機関士,56歳以上,▽,720318,*,218210,502108,3750
近海　二等航海士・機関士,20歳未満,,***,,***,***,***
近海　二等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
近海　二等航海士・機関士,24歳以上28歳未満,,***,,***,***,***
近海　二等航海士・機関士,28歳以上32歳未満,,***,,***,***,***
近海　二等航海士・機関士,32歳以上36歳未満,△,545235,*,164461,380774,5000
近海　二等航海士・機関士,36歳以上40歳未満,※,585675,*,186717,398958,1250
近海　二等航海士・機関士,40歳以上44歳未満,,X,,X,X,X
近海　二等航海士・機関士,44歳以上48歳未満,,***,,***,***,***
近海　二等航海士・機関士,48歳以上52歳未満,,***,,***,***,***
近海　二等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
近海　二等航海士・機関士,56歳以上,,***,,***,***,***
近海　三等航海士・機関士,20歳未満,,***,,***,***,***
近海　三等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
近海　三等航海士・機関士,24歳以上28歳未満,△,501444,*,160010,341434,3405
近海　三等航海士・機関士,28歳以上32歳未満,◎,510442,*,163832,346610,6790
近海　三等航海士・機関士,32歳以上36歳未満,▽,485250,*,160983,324267,5840
近海　三等航海士・機関士,36歳以上40歳未満,,607848,*,201337,406511,3333
近海　三等航海士・機関士,40歳以上44歳未満,,***,,***,***,***
近海　三等航海士・機関士,44歳以上48歳未満,,***,,***,***,***
近海　三等航海士・機関士,48歳以上52歳未満,,***,,***,***,***
近海　三等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
近海　三等航海士・機関士,56歳以上,,***,,***,***,***
近海　甲板長・操機長,20歳未満,,***,,***,***,***
近海　甲板長・操機長,20歳以上24歳未満,,***,,***,***,***
近海　甲板長・操機長,24歳以上28歳未満,,***,,***,***,***
近海　甲板長・操機長,28歳以上32歳未満,,***,,***,***,***
近海　甲板長・操機長,32歳以上36歳未満,,***,,***,***,***
近海　甲板長・操機長,36歳以上40歳未満,,***,,***,***,***
近海　甲板長・操機長,40歳以上44歳未満,,***,,***,***,***
近海　甲板長・操機長,44歳以上48歳未満,,***,,***,***,***
近海　甲板長・操機長,48歳以上52歳未満,,X,,X,X,X
近海　甲板長・操機長,52歳以上56歳未満,,***,,***,***,***
近海　甲板長・操機長,56歳以上,※,719512,*,241264,478248,4167
近海　甲板手・操機手,20歳未満,,***,,***,***,***
近海　甲板手・操機手,20歳以上24歳未満,,***,,***,***,***
近海　甲板手・操機手,24歳以上28歳未満,,618466,*,162141,456325,2476
近海　甲板手・操機手,28歳以上32歳未満,△,411784,*,109190,302594,3312
近海　甲板手・操機手,32歳以上36歳未満,,507847,*,131959,375888,3312
近海　甲板手・操機手,36歳以上40歳未満,,568659,*,135565,433094,0
近海　甲板手・操機手,40歳以上44歳未満,◎,607269,*,171534,435735,3732
近海　甲板手・操機手,44歳以上48歳未満,,594337,*,193234,401103,0
近海　甲板手・操機手,48歳以上52歳未満,▽,613390,*,130476,482914,0
近海　甲板手・操機手,52歳以上56歳未満,,729404,*,260535,468869,3333
近海　甲板手・操機手,56歳以上,,844481,*,216381,628100,0
近海　甲板員・機関員,20歳未満,,***,,***,***,***
近海　甲板員・機関員,20歳以上24歳未満,△,360051,*,108249,251802,3000
近海　甲板員・機関員,24歳以上28歳未満,※,424271,*,121217,303054,3333
近海　甲板員・機関員,28歳以上32歳未満,,***,,***,***,***
近海　甲板員・機関員,32歳以上36歳未満,,***,,***,***,***
近海　甲板員・機関員,36歳以上40歳未満,,X,,X,X,X
近海　甲板員・機関員,40歳以上44歳未満,,***,,***,***,***
近海　甲板員・機関員,44歳以上48歳未満,,***,,***,***,***
近海　甲板員・機関員,48歳以上52歳未満,,***,,***,***,***
近海　甲板員・機関員,52歳以上56歳未満,,***,,***,***,***
近海　甲板員・機関員,56歳以上,,***,,***,***,***
沿海・平水　船長・機関長,20歳未満,,***,,***,***,***
沿海・平水　船長・機関長,20歳以上24歳未満,,***,,***,***,***
沿海・平水　船長・機関長,24歳以上28歳未満,,***,,***,***,***
沿海・平水　船長・機関長,28歳以上32歳未満,,***,,***,***,***
沿海・平水　船長・機関長,32歳以上36歳未満,,***,,***,***,***
沿海・平水　船長・機関長,36歳以上40歳未満,,934340,*,15130,919210,0
沿海・平水　船長・機関長,40歳以上44歳未満,,X,,X,X,X
沿海・平水　船長・機関長,44歳以上48歳未満,,810173,*,80692,729481,6966
沿海・平水　船長・機関長,48歳以上52歳未満,△,822196,*,32971,789225,9863
沿海・平水　船長・機関長,52歳以上56歳未満,,814419,*,37201,777218,3784
沿海・平水　船長・機関長,56歳以上,※,853921,*,64627,789294,1215
沿海・平水　一等航海士・機関士,20歳未満,,***,,***,***,***
沿海・平水　一等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
沿海・平水　一等航海士・機関士,24歳以上28歳未満,,***,,***,***,***
沿海・平水　一等航海士・機関士,28歳以上32歳未満,,575930,*,185442,390488,0
沿海・平水　一等航海士・機関士,32歳以上36歳未満,,458885,*,95763,363122,0
沿海・平水　一等航海士・機関士,36歳以上40歳未満,△,641985,*,190306,451679,845
沿海・平水　一等航海士・機関士,40歳以上44歳未満,,689869,*,134735,555134,0
沿海・平水　一等航海士・機関士,44歳以上48歳未満,◎,724316,*,258846,465470,29080
沿海・平水　一等航海士・機関士,48歳以上52歳未満,▽,640954,*,180894,460060,7775
沿海・平水　一等航海士・機関士,52歳以上56歳未満,,707190,*,244643,462547,2333
沿海・平水　一等航海士・機関士,56歳以上,,628773,*,170336,458437,603
沿海・平水　二等航海士・機関士,20歳未満,,***,,***,***,***
沿海・平水　二等航海士・機関士,20歳以上24歳未満,,***,,***,***,***
沿海・平水　二等航海士・機関士,24歳以上28歳未満,,488110,*,150785,337325,0
沿海・平水　二等航海士・機関士,28歳以上32歳未満,△,521531,*,152772,368759,9456
沿海・平水　二等航海士・機関士,32歳以上36歳未満,,585243,*,209250,375993,1813
沿海・平水　二等航海士・機関士,36歳以上40歳未満,◎,568396,*,180446,387950,1470
沿海・平水　二等航海士・機関士,40歳以上44歳未満,▽,635593,*,214785,420808,15578
沿海・平水　二等航海士・機関士,44歳以上48歳未満,,616705,*,167227,449478,14974
沿海・平水　二等航海士・機関士,48歳以上52歳未満,,X,,X,X,X
沿海・平水　二等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
沿海・平水　二等航海士・機関士,56歳以上,,X,,X,X,X
沿海・平水　三等航海士・機関士,20歳未満,,***,,***,***,***
沿海・平水　三等航海士・機関士,20歳以上24歳未満,,470779,*,158700,312079,0
沿海・平水　三等航海士・機関士,24歳以上28歳未満,※,483171,*,151321,331850,6931
沿海・平水　三等航海士・機関士,28歳以上32歳未満,▽,519678,*,178156,341522,11890
沿海・平水　三等航海士・機関士,32歳以上36歳未満,,***,,***,***,***
沿海・平水　三等航海士・機関士,36歳以上40歳未満,,508835,*,164700,344135,9285
沿海・平水　三等航海士・機関士,40歳以上44歳未満,,***,,***,***,***
沿海・平水　三等航海士・機関士,44歳以上48歳未満,,***,,***,***,***
沿海・平水　三等航海士・機関士,48歳以上52歳未満,,X,,X,X,X
沿海・平水　三等航海士・機関士,52歳以上56歳未満,,***,,***,***,***
沿海・平水　三等航海士・機関士,56歳以上,,***,,***,***,***
沿海・平水　甲板長・操機長,20歳未満,,***,,***,***,***
沿海・平水　甲板長・操機長,20歳以上24歳未満,,***,,***,***,***
沿海・平水　甲板長・操機長,24歳以上28歳未満,,***,,***,***,***
沿海・平水　甲板長・操機長,28歳以上32歳未満,,***,,***,***,***
沿海・平水　甲板長・操機長,32歳以上36歳未満,,622680,*,185295,437385,0
沿海・平水　甲板長・操機長,36歳以上40歳未満,,***,,***,***,***
沿海・平水　甲板長・操機長,40歳以上44歳未満,,524179,*,160251,363928,0
沿海・平水　甲板長・操機長,44歳以上48歳未満,,X,,X,X,X
沿海・平水　甲板長・操機長,48歳以上52歳未満,※,661262,*,216739,444523,10579
沿海・平水　甲板長・操機長,52歳以上56歳未満,,635777,*,180047,455730,10860
沿海・平水　甲板長・操機長,56歳以上,▽,669405,*,214807,454598,5429
沿海・平水　甲板手・操機手,20歳未満,,***,,***,***,***
沿海・平水　甲板手・操機手,20歳以上24歳未満,,***,,***,***,***
沿海・平水　甲板手・操機手,24歳以上28歳未満,,425829,*,135211,290618,5738
沿海・平水　甲板手・操機手,28歳以上32歳未満,,417038,*,123390,293648,6060
沿海・平水　甲板手・操機手,32歳以上36歳未満,△,452281,*,149309,302972,5271
沿海・平水　甲板手・操機手,36歳以上40歳未満,◎,542863,*,179070,363793,10850
沿海・平水　甲板手・操機手,40歳以上44歳未満,,556627,*,199455,357172,3136
沿海・平水　甲板手・操機手,44歳以上48歳未満,,***,,***,***,***
沿海・平水　甲板手・操機手,48歳以上52歳未満,▽,570312,*,176407,393905,2080
沿海・平水　甲板手・操機手,52歳以上56歳未満,,583913,*,182011,401902,6480
沿海・平水　甲板手・操機手,56歳以上,,***,,***,***,***
沿海・平水　甲板員・機関員,20歳未満,,387101,*,121013,266088,0
沿海・平水　甲板員・機関員,20歳以上24歳未満,※,363323,*,104969,258354,3434
沿海・平水　甲板員・機関員,24歳以上28歳未満,▽,373176,*,102884,270292,8871
沿海・平水　甲板員・機関員,28歳以上32歳未満,,435554,*,128780,306774,0
沿海・平水　甲板員・機関員,32歳以上36歳未満,,479575,*,156125,323450,0
沿海・平水　甲板員・機関員,36歳以上40歳未満,,X,,X,X,X
沿海・平水　甲板員・機関員,40歳以上44歳未満,,***,,***,***,***
沿海・平水　甲板員・機関員,44歳以上48歳未満,,538620,*,167117,371503,0
沿海・平水　甲板員・機関員,48歳以上52歳未満,,***,,***,***,***
沿海・平水　甲板員・機関員,52歳以上56歳未満,,***,,***,***,***
沿海・平水　甲板員・機関員,56歳以上,,***,,***,***,***
(注)１　「△」は第１四分位を、「◎」は中位を、「▽」は第３四分位を示し、「※」は分位が重複することを示す。２　「*」は、調査実人員が20人以下であることを示す。
